id,log2FoldChange,pval,padj
Mcam,-1.5478407851,7.85549875989907E-19,3.14037264378291E-17
Mcart1,0.4143148131,0.0144976464,0.0479116555
Mcart6,0.7500893086,0.0642787229,0.1636964809
Mcat,-0.7716104659,3.74928445293814E-05,0.0002552483
Mcc,-0.3897992166,0.059933656,0.1545771397
Mccc1,-0.2270678462,0.3340825988,0.5735673617
Mccc2,-0.8064289599,0.0001127802,0.0006809595
Mcee,-0.0583062576,0.8242305868,0.9933761332
Mcf2,Inf,1,1
Mcf2l,-2.4650892118,2.46230941759085E-12,5.2126969074368E-11
Mcfd2,0.0553384987,0.7480086584,0.9373069848
Mchr1,-2.1420167162,0.0758702672,0.1874237903
Mcl1,0.3118753982,0.0554040445,0.1452753773
Mcm10,-0.2203681457,0.1806866532,0.3702030475
Mcm2,-0.2331164771,0.116467312,0.2636735274
Mcm3,-0.0982976489,0.5035610407,0.7441776028
Mcm3ap,-0.3397721527,0.0299575124,0.0881948344
Mcm4,0.0548074401,0.7459471755,0.9362247882
Mcm5,-0.4402946886,0.0054863303,0.0212266526
Mcm6,-0.0051784684,0.9517998972,1
Mcm7,-0.0079176534,0.937197865,1
Mcm8,0.1060879642,0.657685577,0.8731553189
Mcm9,0.5822120376,0.0088637197,0.0318491414
Mcmbp,-0.0789620598,0.6069326211,0.8330955633
Mcoln1,0.9465693847,5.0214227515905E-07,4.90166139124592E-06
Mcoln2,5.0323209986,1.068264662256E-27,7.78113116278844E-26
Mcoln3,1.8143941848,0.8064574184,0.9804103976
Mcph1,-0.2505868914,0.1479865192,0.3176683647
Mcpt8,-0.0196185116,0.9754970809,1
Mcrs1,-0.3530255573,0.0825031534,0.2006265677
Mctp1,0.1289375373,0.9998292572,1
Mctp2,7.0500833878,2.11901238394081E-10,3.52963399999443E-09
Mcts1,0.1997096884,0.3094966129,0.544548821
Mcts2,-0.076686247,0.7307627322,0.9248186238
Mdc1,0.6198506374,0.0002024677,0.0011536028
Mdfi,2.3321178765,0.0030834695,0.0127907433
Mdfic,0.5430736772,0.0018856631,0.0083607297
Mdga1,2.644588288,0.0004958573,0.002576719
Mdga2,2.520733948,0.0254426976,0.0767029063
Mdh1,-0.1150747377,0.450012104,0.700260625
Mdh1b,0.4249476553,1,1
Mdh2,-0.8849496828,6.4502247613702E-10,1.00707247274679E-08
Mdk,-0.4383350704,0.5786743295,0.8086669152
Mdm1,0.461884498,0.0222051305,0.0686768968
Mdm2,0.3329326446,0.0487558311,0.1312627623
Mdm4,0.5792512007,0.0016989932,0.0076274986
Mdn1,-1.0047809795,1.16267865166294E-11,2.29465511160573E-10
Mdp1,-0.2006657925,0.3336506827,0.573258894
Me1,-0.7415232691,4.03292965520744E-06,3.34585235391004E-05
Me2,-0.6593535558,2.03364467374306E-05,0.0001473792
Me3,-3.0165468191,0.0302810435,0.0889188825
Mea1,-0.5990133959,0.0068656717,0.0257014148
Meaf6,0.1273001135,0.5549072774,0.7893137028
Mecom,-2.3707017107,1.82290293819479E-31,1.6667926333813E-29
Mecp2,0.5703732442,0.000730846,0.0036383557
Mecr,-1.264914212,2.76184740478407E-11,5.12701478274711E-10
Med1,-0.0664104834,0.7317120145,0.9256111215
Med10,-0.4407562155,0.0123207933,0.0418152886
Med11,-0.2492901266,0.2197069247,0.4288508399
Med12,-0.3022632626,0.0517827485,0.1378147463
Med12l,3.4017351883,4.82193776179324E-08,5.59683390447169E-07
Med13,0.3648229481,0.0426081096,0.1176788889
Med13l,0.207171422,0.2066994595,0.4096622085
Med14,-0.4062999172,0.0069989925,0.0261095228
Med15,-0.3713122427,0.0187999193,0.0596916536
Med16,-0.7536189182,7.25556756001254E-06,5.71862477563574E-05
Med17,-0.2376200255,0.1521921365,0.3248705857
Med18,-0.1195939384,0.600804907,0.8284139209
Med19,-0.294386089,0.1070981376,0.2468182042
Med20,-0.0479014449,0.8069731507,0.9808292767
Med21,-0.4465474759,0.0156512395,0.05119787
Med22,-0.837711488,6.0299687804409E-08,6.88281297050326E-07
Med23,0.2166683209,0.2766019381,0.5048616815
Med24,0.791079531,0.0003012915,0.0016431474
Med25,-0.5068053693,0.0018370493,0.008166247
Med26,0.0095093342,1,1
Med27,-0.7716016436,0.0002407249,0.0013439627
Med28,-0.2916592556,0.0717733429,0.1791988037
Med29,-0.1819926852,0.4596124335,0.7071565448
Med30,-0.219774258,0.2506890342,0.4713230476
Med31,0.2540473331,0.4160608501,0.6663641119
Med4,-0.0560608346,0.7582021413,0.9437039179
Med6,0.0150444196,0.9601390849,1
Med7,0.2171182836,0.2765430755,0.504807844
Med8,-0.2066435582,0.2241899138,0.4349689184
Med9,-0.5670445506,0.0022307276,0.0096907271
Mef2a,0.4159103709,0.0289641973,0.0856371778
Mef2b,-0.7110636403,0.574938282,0.8055415329
Mef2c,1.3039957022,5.04305783785445E-06,4.08723075118897E-05
Mef2d,0.3057260462,0.083885399,0.2033262845
Mefv,Inf,0.3390962032,0.5802372817
Meg3,-2.6154646799,8.88043969167009E-09,1.14519698649519E-07
Megf10,-1.4164386464,4.44545524116358E-07,4.36920386481429E-06
Megf11,0.4121207306,0.74284609,0.9343556816
Megf8,-0.2354318674,0.1316284565,0.2901260632
Megf9,-0.4760343934,0.0219330845,0.0679883569
Mei1,0.6875121513,1,1
Mei4,-0.4135037291,0.5789495562,0.8088500029
Meig1,0.5096738388,0.9084817976,1
Meis1,0.551263541,0.0035195156,0.014343403
Meis2,-0.1518926959,0.4188450359,0.6693212523
Meis3,-0.1784331942,0.4091325488,0.6583962286
Melk,-0.367956039,0.0200842327,0.0629669815
Memo1,-0.8189800397,1.37869976198967E-07,1.49055653513222E-06
Men1,-0.3599706449,0.0250933852,0.0758656578
Meox1,3.4989380286,0.0011627266,0.0054714673
Meox2,Inf,0.9678947896,1
Mep1a,0.1018178086,1,1
Mepce,0.062639471,0.7393396877,0.9322483836
Mepe,Inf,0.7817551582,0.9618761126
Mertk,-2.3557789147,6.92675753854325E-11,1.21749449987279E-09
Mesdc1,-0.6117812928,0.0003045663,0.0016583765
Mesdc2,-0.0183810524,0.8839961125,1
Mesp1,Inf,0.9255093944,1
Mesp2,Inf,0.2988617723,0.5333322656
Mest,-0.9813321105,0.0008103571,0.0039914149
Met,-3.2098697469,4.44660943708384E-39,6.11497729787769E-37
Metap1,-0.5638975264,0.0003021414,0.001646216
Metap1d,0.5636127507,0.0095818292,0.0339471647
Metap2,-0.6875197995,4.12268784289144E-06,3.41044292681924E-05
Metrn,-0.9211476062,7.77923470783408E-07,7.37183266966196E-06
Metrnl,-1.5980089609,3.60922135445368E-18,1.38179320897681E-16
Mettl1,-0.9106034406,1.0081544540975E-05,7.78184780688638E-05
Mettl10,0.222316782,0.3659222408,0.6117966666
Mettl11a,-0.958642204,5.32606544427347E-08,6.14463523403094E-07
Mettl13,-0.6773932833,0.0002238711,0.0012609251
Mettl14,-0.2467084706,0.1779676573,0.3663789256
Mettl15,-0.3581895883,0.2117718113,0.4168507313
Mettl16,-0.7250933975,0.000010925,8.35788026766527E-05
Mettl17,0.1129773,0.7530693864,0.9402250337
Mettl2,-0.3481075528,0.1053307451,0.2433322817
Mettl21a,-0.2437333171,0.2359099762,0.4511941629
Mettl21d,-0.6422568001,0.0047328603,0.0185875871
Mettl22,-1.1057773176,0.0005890253,0.0029974381
Mettl3,-0.3212023343,0.1181562227,0.2667593208
Mettl4,-0.0848404183,0.6942120949,0.8999627384
Mettl5,0.1844569814,0.5597285472,0.7928630075
Mettl6,0.2516534365,0.22664065,0.4384913196
Mettl7a1,0.017636837,1,1
Mettl7b,4.7403000794,0.0191954134,0.0607776393
Mettl8,-0.108699111,0.636460436,0.857207389
Mettl9,0.2568374568,0.1650740083,0.3461362701
Mex3a,-0.9899361082,0.0011120249,0.0052544551
Mex3b,-0.2364827909,0.2763223334,0.5044584654
Mex3c,-0.5770422748,0.0001518406,0.0008905287
Mex3d,-1.3845991531,2.57081090274885E-19,1.06231344755415E-17
Mfap1a,0.5849107892,0.0091592614,0.0327062118
Mfap1b,0.5087716522,0.1259292808,0.2802951375
Mfap2,1.7803869389,0.0577384608,0.1500187639
Mfap3,0.3719480988,0.0655786851,0.1664153524
Mfap3l,-1.0613048333,0.000017825,0.0001308337
Mfap4,1.5263695817,0.0693136323,0.1741706388
Mfap5,0.8159692579,0.4588899319,0.7065187424
Mff,-0.0799467385,0.6162151975,0.8401091757
Mfge8,-0.7845318628,3.37346699548141E-05,0.0002318668
Mfhas1,-0.7294529341,0.002064226,0.0090520523
Mfi2,Inf,1,1
Mfn1,-0.3799104132,0.0208992634,0.0652043425
Mfn2,-1.0711338802,7.16785383528467E-13,1.62983343159449E-11
Mfng,1.9082203379,1,1
Mfsd1,0.3881255799,0.0275336356,0.0820994269
Mfsd10,0.454513554,0.0104756307,0.0365710992
Mfsd11,0.6723669562,0.0003275965,0.0017708754
Mfsd2a,-1.1691759246,1.45561640932372E-05,0.0001086498
Mfsd2b,0.5824880458,0.5717975722,0.8027768921
Mfsd3,0.0401546955,0.9865471881,1
Mfsd4,0.4580544547,0.0797146693,0.1950598099
Mfsd5,-0.0599530431,0.6894601244,0.8959424425
Mfsd6,-0.0139043602,0.9322645292,1
Mfsd6l,Inf,1,1
Mfsd7a,2.3122176215,2.01509727406123E-06,1.77547525069772E-05
Mfsd7b,0.2394279082,0.3961474236,0.6464566368
Mfsd7c,3.766257202,0.000003041,2.57893785575665E-05
Mfsd8,0.8452867208,0.0007067923,0.0035267805
Mfsd9,-0.036941047,0.8835156617,1
Mga,0.5623176643,0.0008171436,0.0040202343
Mgam,-2.9017081663,0.2738227003,0.5013860479
Mgat1,0.1320444908,0.4540026111,0.7028630496
Mgat2,-0.4010741772,0.0130058075,0.0437685651
Mgat3,1.0163529371,0.000061998,0.0003991557
Mgat4a,-0.030452459,0.8831605691,1
Mgat4b,-1.1221099987,3.47623200260534E-13,8.18581207188847E-12
Mgat5,0.280906159,0.247940274,0.4679165609
Mgat5b,0.1182794851,1,1
Mgea5,0.4944865948,0.0027923863,0.0117598851
Mgll,0.3105977506,0.8917300292,1
Mgmt,-0.4716695696,0.4555852788,0.7038243143
Mgp,3.2863183282,9.54683523885131E-27,6.46102747070291E-25
Mgrn1,-0.1809430367,0.337114333,0.5775359163
Mgst1,3.6711902701,2.18267067212213E-44,3.64272901493004E-42
Mgst2,3.2516071836,0.0133376743,0.044579938
Mgst3,1.4082240044,5.19711342020306E-05,0.0003405962
Mia1,-1.3845906059,0.383731684,0.6321973978
Miat,Inf,0.8285560264,0.9959965136
Mib1,-0.2513997149,0.1582106344,0.3354268384
Mib2,0.4065828854,0.0510879931,0.1364092266
Mical1,-0.0964426093,0.6203255653,0.8433722957
Mical2,-1.5863031425,7.82508559288438E-21,3.55855082914504E-19
Mical3,-0.2263446725,0.2969775796,0.5307802654
Micalcl,-0.0002184625,0.9474974924,1
Micall1,-0.673307388,2.78693119392725E-05,0.0001955402
Micall2,0.7214092105,9.90842917885096E-05,0.000607006
Micu1,-0.4903446039,0.0016564098,0.0074577488
Mid1,0.2178599678,0.2377259935,0.4534402116
Mid1ip1,0.0139676393,0.9815025252,1
Mid2,-1.457389604,4.98178032034558E-12,1.02928850609063E-10
Midn,-0.9407076032,2.46999508856579E-10,4.07087397626518E-09
Mier1,0.7612542669,1.06118891183713E-05,0.000081546
Mier2,-0.2665251016,0.1248139548,0.2783900198
Mier3,-0.0086355045,0.9372259147,1
Mif,0.2823605046,0.095882634,0.226031607
Mif4gd,0.595198961,0.0092604353,0.0329989392
Miip,-0.0870805329,0.6535938969,0.8702098279
Mill2,0.1119436151,1,1
Mina,-0.6540261438,0.0166357046,0.0539544051
Mink1,-0.1042901723,0.5145806835,0.7555113888
Minos1,-0.3679232345,0.0218624365,0.0678122128
Minpp1,-0.0711128825,0.6477754875,0.8660854499
Mios,0.4475050708,0.0577124651,0.1499965641
Mip,0.9549669635,0.4445199504,0.694284749
Mipep,-1.3720427905,1.32076736098131E-09,1.94714418582754E-08
Mipol1,-1.3324803197,0.0002762922,0.0015203146
Mir103-2,0.1157225146,1,1
Mir106b,3.4375642994,0.2743029248,0.5019854631
Mir10a,0.4595407672,0.9333546026,1
Mir1192,-0.3456198271,0.6195189683,0.8426988625
Mir1249,-0.4917281013,0.6747944106,0.8851366592
Mir125a,-0.8981051269,0.5091986942,0.7500536035
Mir125b-1,Inf,1,1
Mir130a,-Inf,0.4015652855,0.6521772736
Mir133a-1,0.0938350981,1,1
Mir133a-2,Inf,1,1
Mir138-1,Inf,1,1
Mir140,Inf,1,1
Mir143,1.105306569,1,1
Mir145,Inf,0.2495173499,0.4695865168
Mir155,1.4662572864,1,1
Mir15b,-Inf,0.3098764727,0.544548821
Mir16-1,0.8384405575,0.792436088,0.969742746
Mir17,-Inf,0.4048448815,0.6544276951
Mir17hg,-0.153251226,0.5236108964,0.7636269882
Mir1839,0.9070390643,0.8979892211,1
Mir186,0.675321729,0.4928681212,0.7384240128
Mir1894,-0.5085527855,0.6899439658,0.8962545735
Mir1898,1.105457254,0.4507191333,0.700260625
Mir1907,0.6908601659,0.9909422876,1
Mir191,-Inf,0.4015652855,0.6521772736
Mir192,Inf,1,1
Mir1929,-0.8619918895,0.5210123657,0.7616864634
Mir1930,0.1469909776,1,1
Mir1932,Inf,1,1
